"filename", "language", "JSON", "Markdown", "Ignore", "JSON with Comments", "Python", "C#", "C++", "XML", "Java", "Shell Script", "Go", "C", "YAML", "Batch", "pip requirements", "Docker", "reStructuredText", "Properties", "JavaScript", "HTML", "Go Checksum File", "Go Module File", "TypeScript", "TypeScript React", "CSS", "comment", "blank", "total"
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/edges/textlinecollection.h", "C++", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 54
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/licenseplatecandidate.cpp", "C++", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 42, 143
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/licenseplatecandidate.h", "C++", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 67
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/motiondetector.cpp", "C++", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 87
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/motiondetector.h", "C++", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/ocr.cpp", "C++", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 15, 62
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/ocr.h", "C++", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 12, 55
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/ocrfactory.cpp", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/ocrfactory.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 34
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/charactersegmenter.cpp", "C++", 0, 0, 0, 0, 0, 0, 726, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 226, 1086
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/charactersegmenter.h", "C++", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 26, 94
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/histogram.cpp", "C++", 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 56, 258
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/histogram.h", "C++", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 15, 61
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/histogramhorizontal.cpp", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3, 28
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/histogramhorizontal.h", "C++", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 5, 36
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/histogramvertical.cpp", "C++", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 37
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/histogramvertical.h", "C++", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 12, 44
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/segment.cpp", "C++", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 10, 54
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/segment.h", "C++", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 12, 47
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/segmentationgroup.cpp", "C++", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 11, 54
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/segmentation/segmentationgroup.h", "C++", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 16, 55
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/tesseract_ocr.cpp", "C++", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 36, 163
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/ocr/tesseract_ocr.h", "C++", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 62
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/pipeline_data.cpp", "C++", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/pipeline_data.h", "C++", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29, 77
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/postprocess/postprocess.cpp", "C++", 0, 0, 0, 0, 0, 0, 313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 71, 428
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/postprocess/postprocess.h", "C++", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 27, 106
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/postprocess/regexrule.cpp", "C++", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 32, 145
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/postprocess/regexrule.h", "C++", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 54
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/prewarp.cpp", "C++", 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 74, 303
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/prewarp.h", "C++", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 66
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/result_aggregator.cpp", "C++", 0, 0, 0, 0, 0, 0, 269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 86, 406
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/result_aggregator.h", "C++", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 25, 94
